Name	Blank	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
COPS9		8.082402093	8.138611961	8.794064168	8.307231399	8.102712086	7.688888879	8.082758118	8.472574377	7.854318543	7.954226541
TSEN54		6.65206482	6.832383669	6.893965991	7.402132664	6.609170204	6.657424013	6.877301381	6.763820512	6.97938926	6.574571959
UBE2G2		8.657526894	8.372579459	8.724263097	8.528973019	8.783103492	8.864799051	8.671904967	8.716853991	8.624597106	8.69408736
REG4_2		6.041588082	6.266982599	5.967757528	5.048284023	6.790529814	5.592357566	6.835437602	7.053738222	6.893936029	7.275912783
TMEM50A		9.071670936	9.176094322	9.170513921	9.052872004	9.226193052	9.179341225	8.818787709	9.270006319	9.298390681	9.221636254
PARD3		6.391896585	5.568361709	4.833747512	5.844908114	5.849672929	5.886300211	6.371888052	5.404352353	5.744530207	5.876307576
NOL10		8.129795139	8.196868385	7.754180905	8.553823771	8.584455939	8.313326881	8.26725983	8.827532195	8.686259796	8.63478005
FLO1_3		8.378953737	8.060893825	8.081766349	8.247552921	7.535515303	7.527751868	8.123914885	7.803250328	7.819980989	7.732803327
FABP7		14.74273602	14.4924865	15.32061116	14.60925219	12.75674539	12.88096183	13.81568934	12.71363592	12.67659003	12.46944158
NDUFS6		9.767337706	9.601659679	10.34232738	9.717221176	9.27776164	9.208437802	9.521852533	9.227450315	9.251923217	9.282354567
LIMS2		10.05813206	10.152272	10.15440976	10.43801105	10.18503097	10.32123583	10.22643826	10.25232081	10.13562954	10.51990651
CCNL1_2		5.938893106	5.568361709	5.379213781	5.968345772	5.716482259	5.388414958	5.994696924	5.777035631	5.534704441	5.953016873
NT5C3		6.776399782	6.721295944	6.689380161	6.187442694	6.47421585	6.577328316	5.715814098	5.968957749	6.490233742	6.199625808
FABP1_1		12.66091096	12.61297753	13.11226104	12.52750396	13.49271861	12.97838633	12.40648864	13.788868	13.20964877	12.84683948
MSMO1_8		6.227348851	7.054876824	6.925411117	7.455858894	6.742395877	7.555889099	9.233026267	7.671420952	7.532535181	6.956310082
H2AFB3		3.708094922	3.239643541	4.273861212	4.340096366	3.956984842	4.866229784	3.144967749	3.753130713	3.868587539	3.855293163
RAD52_2		8.058108659	8.655430698	8.377269826	7.920710199	7.386883067	7.2971681	7.655526532	7.643545333	7.460059981	7.675098249
FABP1_2		10.85847367	11.74129099	12.0516036	10.90490619	13.14929441	12.94719029	10.95479828	13.17166769	12.87499314	12.69696458
PLA1A_5		6.227348851	4.933554944	5.808227727	0	3.047013803	4.039667271	5.330136623	0	0	3.91786924
VHA26		11.71974073	11.59879392	11.66067197	11.52617949	11.89888644	11.82968407	11.72386316	11.95321939	11.66113576	11.74353806
MSMO1_9		6.467628975	6.791721538	6.138477156	5.350160596	7.690691801	7.148033463	5.916542556	4.862353909	4.951186303	6.525179618
ADH1_1		8.033399133	7.798939537	8.416527247	7.817774683	8.264830805	7.738835581	8.146916405	8.315379804	8.009653105	7.849766343
PAPSS2_2		6.736133765	8.395375125	8.143235747	6.332367106	7.830786565	7.676127264	5.889521066	8.205275881	8.631213431	8.089503079
FABP1_3		10.57861597	12.1053978	12.38066009	10.09109912	12.59251428	12.74589085	10.52745915	12.57625441	12.54940635	12.61331754
XXYLT1		3.094781171	4.322116801	3.946135477	5.709912456	4.642382779	4.11724768	2.72334753	3.260395314	2.468756666	4.470658809
NT1_26		7.316578176	6.960198974	6.407032573	6.659895784	4.944224838	5.035652303	6.996062912	3.260395314	0	4.293192877
FABP1_4		5.274863092	10.96080388	8.868753823	2.89099515	9.252207746	8.813279037	4.858984045	8.878646738	9.323119584	9.195036525
EIF1		10.44447634	10.47367877	10.91619853	10.56933926	11.09954621	10.70962024	10.65126425	11.2345474	10.60598631	10.71644228
OPN5_2		4.735899747	3.530696166	3.67728004	4.245639744	4.086018336	3.778235728	3.470831107	3.667136833	4.619733359	4.035423902
ADH1_2		12.17335351	12.19062347	12.60235535	12.37897392	10.33942911	10.76113404	12.04981155	10.30665642	10.4769475	10.3229827
GNA14		9.711319778	9.644154763	9.075601931	9.403945464	9.348603081	9.730678911	9.629884035	9.370358367	9.537285993	9.598754747
RPS10		14.5792436	14.65231846	15.32609788	14.78246821	14.2134673	14.34155089	14.44167184	14.15403757	14.03127449	13.99299374
FKBP2		8.662906822	9.02933208	9.389263464	9.406676398	8.897413243	9.014241037	8.804392748	8.822568348	8.796325352	8.782922154
XBP1		6.715571323	6.616541239	6.138477156	7.380069148	6.855328327	7.202446809	7.021177433	6.260809445	6.814772932	6.48441091
PAPSS2_3		5.828323935	6.910423294	6.191171532	6.713815047	7.871636154	7.424711311	6.466348621	8.497704602	9.119370208	8.297964834
NT1_27		4.255783623	5.205307683	5.55033352	5.67409314	9.888178145	10.79029397	12.19240635	10.83380864	11.11506518	10.53245963
SYX7		9.859250507	9.816204274	9.848877158	9.58120826	9.989601963	9.850528669	9.703487381	10.21870922	10.28889987	10.14150054
MSMO1_10		9.437686059	9.415705397	9.096472447	7.227793155	8.955570296	8.408983625	6.447944821	6.360069433	6.445886194	7.924056055
PAPSS2_4		8.417657928	8.907756579	8.737610638	8.533977532	9.753809768	9.212862568	8.407198278	10.17458906	10.99708318	9.828875682
HR4_2		7.749719661	7.390605287	6.266771185	7.48715976	7.081109418	6.992020522	7.420908726	6.8345641	7.079545447	7.208673067
EIF4ENIF1_1		11.14463798	11.18865003	10.95671108	11.32289142	11.46101446	11.57513087	11.77181807	11.70207429	11.64610586	11.67045438
NACHRA7_1		0	3.656806373	0	3.790317358	2.914276483	4.724678451	4.242824155	3.667136833	0	3.573704497
